name,description,default value,flags
shownet_enabled, ,0,FCVAR_RELEASE
skill_hostname,, ,FCVAR_RELEASE
sound_classic_music,classic music volume (float 0 – 2),0,FCVAR_ARCHIVE_GAMECONSOLE
sound_musicReduced, ,0,FCVAR_ARCHIVE_GAMECONSOLE
sound_num_speakers,"2 - headphones or stereo, 6 - 5.1 surround, 8 - 7.1 surround.  All other values invalid",2,FCVAR_ARCHIVE
sound_volume,master game volume (float 0 – 2),1,FCVAR_RELEASE
sound_volume_dialogue,dialogue volume (mp) (float 0 – 2),1,FCVAR_ARCHIVE_GAMECONSOLE
sound_volume_music_game,music volume in game (mp) (float 0 – 2),1,FCVAR_ARCHIVE_GAMECONSOLE
sound_volume_music_lobby,music volume in lobby (float 0 – 2),1,FCVAR_ARCHIVE_GAMECONSOLE
sound_volume_sfx,sound effect volume (mp) (float 0 – 2),1,FCVAR_ARCHIVE_GAMECONSOLE
sound_volume_voice,voice chat volume (float 0 – 2),1,FCVAR_ARCHIVE
sound_without_focus,Play sounds even when the app doesn't have focus.,0,FCVAR_ARCHIVE_GAMECONSOLE
speechtotext_disable_expire_logic,,0,FCVAR_RELEASE
speechtotext_disable_time,,0,FCVAR_ARCHIVE_GAMECONSOLE
speechtotext_enabled,,0,FCVAR_ARCHIVE_GAMECONSOLE
speechtotext_expire_duration,,604800,FCVAR_RELEASE
speechtotexttoken_hostname,, ,FCVAR_RELEASE
speex_quiet_threshold,,1300,FCVAR_ARCHIVE
spinner_debug_info,,0,FCVAR_RELEASE
sprint_view_shake_style,,0,FCVAR_ARCHIVE_GAMECONSOLE | FCVAR_CLIENTCMD_CAN_EXECUTE
ssao_downsample,"0 = 1:1, 1 = 2:1, 2 = 4:1",0,FCVAR_CLIENTCMD_CAN_EXECUTE
ssao_enabled,,1,FCVAR_CLIENTCMD_CAN_EXECUTE
staticfile_hostname,, ,FCVAR_RELEASE
stats_hostname,, ,FCVAR_RELEASE
steam_environment,,production,FCVAR_RELEASE
stream_cache_align_memory_estimates,,1,FCVAR_CLIENTCMD_CAN_EXECUTE
stream_memory,Stream memory to target (in kb).,300000,FCVAR_CLIENTCMD_CAN_EXECUTE
stream_memory_min,Minimum streaming memory (in kb).,0,FCVAR_CLIENTCMD_CAN_EXECUTE
stream_texture_bandwidth,Maximum bandwidth (in MB/s) to use for streaming. This should be lower than the GPU-CPU bus bandwidth (e.g. PCIe bus bandwidth).,100,FCVAR_CLIENTCMD_CAN_EXECUTE
stryder_security,, ,FCVAR_USERINFO
subscription_hostname,, ,FCVAR_RELEASE
sv_earlyPersistenceRead,Should the server try to read persistence earlier in the connection process\n,0,FCVAR_RELEASE
sv_netstrcmd_retail_enabled,,1,FCVAR_RELEASE
sv_netstrcmd_retail_track,,1,FCVAR_RELEASE
sv_voiceenable,,1,FCVAR_ARCHIVE | FCVAR_RELEASE
TalkIsStream,,0,FCVAR_ARCHIVE
toggle_on_jump_to_deactivate,Toggle or release jump to deactivate the offhand weapon,1,FCVAR_USERINFO | FCVAR_ARCHIVE_GAMECONSOLE
toggle_on_jump_to_deactivate_changed,If Toggle or release jump to deactivate the offhand weapon changed by the player,0,FCVAR_ARCHIVE_GAMECONSOLE
twitch_drops,Entitlements user has received through the Twitch Drops program, ,FCVAR_HIDDEN | FCVAR_USERINFO
twitch_drops_initialized,Whether the user has received any twitch drop info from stryder,0,FCVAR_HIDDEN | FCVAR_USERINFO
twitch_prime_fulfillmentToken,Token for reporting Prime reward fulfillment, ,FCVAR_HIDDEN | FCVAR_USERINFO
twitch_prime_rewards,Entitlements user has received through the Twitch Prime rewards program, ,FCVAR_HIDDEN | FCVAR_USERINFO
use_eadp_shorthash,Hash the Nucleus ID to its short version (32 chars) instead of the long version (128 chars).,1,FCVAR_RELEASE
users_hostname,, ,FCVAR_RELEASE
viewportscale,Scale down the main viewport (to reduce GPU impact on CPU profiling),1,FCVAR_RELEASE
voice_enabled,Toggle voice transmit and receive.,1,FCVAR_ARCHIVE_GAMECONSOLE
voice_forcemicrecord,,1,FCVAR_ARCHIVE
voice_input_device,Voice capture device guid for directsound. empty = default capture device (will automatically reset voice on default changed), ,FCVAR_ARCHIVE
voice_inputfromfile,Get voice input from 'voice_input.wav' rather than from the microphone.,0,FCVAR_RELEASE
voice_loopback, ,0,FCVAR_USERINFO
voice_mixer_boost, ,0,FCVAR_ARCHIVE
voice_mixer_mute, ,0,FCVAR_ARCHIVE
voice_mixer_volume, ,1,FCVAR_ARCHIVE
voice_modenable,Enable/disable voice in this mod.,1,FCVAR_ARCHIVE | FCVAR_CLIENTCMD_CAN_EXECUTE
voice_recordtofile,Record mic data and decompressed voice data into 'voice_micdata.wav' and 'voice_decompressed.wav',0,FCVAR_RELEASE
voice_scale, ,1,FCVAR_ARCHIVE
voice_vox,Voice chat uses a vox-style always on,1,FCVAR_ARCHIVE
vtx_hostname,, ,FCVAR_RELEASE
watchdog_dialog,Show a dialog prompt (for PC). Default is 1 (enabled),1,FCVAR_RELEASE
watchdog_sleep_time_milliseconds,Time watchdog thread to sleep in milliseconds.  Defaults to 1000 (1 second).,1000,FCVAR_RELEASE
watchdog_time_milliseconds,"Time for watchdog to wait without seeing a new frame presented before triggering a crash report, in milliseconds. Default is 0 (0 disables the feature)",0,FCVAR_RELEASE
weapon_setting_autocycle_on_empty, ,1,FCVAR_USERINFO | FCVAR_ARCHIVE_GAMECONSOLE | FCVAR_CLIENTCMD_CAN_EXECUTE
weapon_switchOffHand_checkODLSkin, ,0,FCVAR_RELEASE
XLOG_telemetry_shortcircuit,Allow customers to turn off xlog.,0,FCVAR_RELEASE
xlog_tls_allow_vip_upload, ,1,FCVAR_ARCHIVE_GAMECONSOLE
zipline_detection_player_in_front, ,1,FCVAR_RELEASE
